From,To,Year,Weight
6798,8902,1993,1
6798,7255,1993,1
6799,8245,1993,1
6799,6799,1993,1
6800,6892,1993,2
6800,7161,1993,1
6800,11124,1993,1
6800,6933,1993,1
6800,9543,1993,1
6800,6824,1993,1
6800,6804,1993,1
6800,11274,1993,1
6800,8283,1993,2
6800,7900,1993,2
6800,6781,1993,1
6802,7394,1993,1
6802,8789,1993,1
6802,6808,1993,1
6802,6795,1993,1
6802,6802,1993,1
6802,7822,1993,1
6803,8766,1993,1
6804,8913,1993,1
6804,6810,1993,1
6804,11267,1993,1
6804,6782,1993,1
6805,8112,1993,1
6805,7016,1993,1
6805,6848,1993,2
6805,6805,1993,1
6805,7128,1993,2
6805,8796,1993,1
6805,6781,1993,1
6806,8913,1993,1
6806,6932,1993,1
6807,10796,1993,1
6807,7423,1993,1
6808,6808,1993,1
6808,6800,1993,1
6808,6810,1993,1
6808,8587,1993,1
6808,6802,1993,1
6810,7128,1993,1
6810,7273,1993,1
6810,6810,1993,1
6810,8804,1993,1
6810,7078,1993,1
6811,6953,1993,1
6812,8957,1993,1
6814,8226,1993,1
6814,8740,1993,1
6814,6814,1993,1
6815,7212,1993,1
6816,8405,1993,1
6818,6818,1993,1
6818,11358,1993,1
6819,7128,1993,1
6819,6798,1993,1
6820,6820,1993,1
6821,8670,1993,1
6822,8200,1993,1
6823,8185,1993,1
6824,7743,1993,1
6825,6848,1993,1
6825,8857,1993,1
6825,6825,1993,1
6827,8865,1993,1
6827,6827,1993,1
6827,6933,1993,1
6827,8939,1993,1
6829,6848,1993,3
6829,7128,1993,1
6829,8106,1993,1
6829,8092,1993,1
7855,7143,1993,1
6848,6904,1993,1
6848,7507,1993,1
6869,6848,1993,1
6869,8003,1993,1
6869,8628,1993,1
6869,10677,1993,1
10966,7900,1993,1
7900,7962,1993,1
10991,10998,1993,1
11007,6808,1993,1
6933,7472,1993,1
6788,8852,1993,1
6788,6822,1993,1
6788,8727,1993,1
6949,7943,1993,1
6953,8028,1993,1
7987,6930,1993,1
8009,8010,1993,1
9036,9035,1993,1
7822,7266,1993,1
6801,6825,1993,1
6801,8783,1993,1
7016,8283,1993,1
9096,8882,1993,1
8082,8079,1993,1
6809,6873,1993,1
6809,7762,1993,1
6809,10978,1993,1
6809,10254,1993,1
6809,6809,1993,1
6817,6817,1993,1
7135,8528,1993,1
8197,7255,1994,1
8200,8200,1994,1
8214,6953,1994,1
8227,8228,1994,1
8233,8234,1994,1
7180,8622,1994,1
8272,8273,1994,1
8283,8903,1994,1
11358,11359,1994,1
7266,7089,1994,1
7266,9415,1994,1
9616,10597,1994,1
8313,8316,1994,1
8350,8351,1994,1
7361,7949,1994,1
8546,10751,1994,1
8406,8407,1994,1
8443,7456,1994,1
8469,8472,1994,1
8470,8469,1994,1
7483,7614,1994,1
7483,7983,1994,1
8528,6993,1994,1
9568,9569,1994,1
9585,8146,1994,1
8589,7042,1994,1
8604,6993,1994,1
8608,8609,1994,1
7615,9481,1994,1
11267,11268,1994,1
8642,8643,1994,1
7620,6908,1994,1
7278,8654,1994,1
8656,9056,1994,1
8674,6864,1994,1
7279,8006,1994,1
7677,8119,1994,1
7690,8480,1994,1
8719,6827,1994,1
8727,6788,1994,1
6781,7472,1994,1
6781,6848,1994,1
6781,7128,1994,1
6781,6904,1994,1
6781,7962,1994,2
6781,7101,1994,1
6781,11263,1994,1
6782,7128,1994,1
6782,6892,1994,1
6782,6848,1994,1
6782,7532,1994,1
6782,11593,1994,1
6783,11350,1994,1
6783,8725,1994,1
6783,11230,1994,1
6784,6784,1994,2
6784,6819,1994,1
6785,6825,1994,1
6785,7042,1994,1
6785,8023,1994,1
6786,6786,1994,2
6787,6801,1994,1
6787,7042,1994,1
6787,11147,1994,1
6787,6823,1994,1
6789,8642,1994,1
6789,7042,1994,2
6790,11088,1994,1
6790,6848,1994,1
6790,8245,1994,1
6790,6822,1994,1
6790,8604,1994,2
6790,11164,1994,1
6791,7576,1994,1
6791,6848,1994,1
6791,7133,1994,1
6791,6846,1994,1
6791,6825,1994,1
6792,6869,1994,1
6793,8088,1994,1
6793,7143,1994,1
6793,8062,1994,1
6793,7078,1994,1
6793,8103,1994,1
6794,6804,1994,1
6794,7382,1994,1
6794,8919,1994,1
6794,7068,1994,1
6794,11322,1994,1
6794,6795,1994,1
6794,6892,1994,2
6794,8589,1994,1
6794,7102,1994,1
6794,11295,1994,1
6795,6784,1994,1
6795,6848,1994,1
6795,7394,1994,1
6795,6852,1994,1
6795,7142,1994,1
6795,6970,1994,1
6795,7134,1994,1
6796,11068,1994,1
6798,6904,1994,1
6798,6797,1994,1
6798,6798,1994,1
6798,11301,1994,1
6800,8881,1994,1
6800,6852,1994,1
6800,8997,1994,1
6800,6807,1994,1
6800,9019,1994,1
6800,7900,1994,1
6800,6910,1994,1
6800,11038,1994,1
6800,6821,1994,1
6801,7162,1994,1
6802,10593,1994,1
6802,8179,1994,1
6802,7284,1994,1
6802,11244,1994,1
6802,11035,1994,1
6802,7532,1994,1
6803,11368,1994,1
6803,8962,1994,1
6803,11212,1994,1
6803,6902,1994,1
6804,11245,1994,1
6804,6782,1994,1
6804,10886,1994,1
6804,6831,1994,1
6805,7985,1994,1
6805,9762,1994,1
6806,6891,1994,1
6806,6830,1994,1
6806,11247,1994,1
6807,6800,1994,1
6807,7962,1994,1
6807,9698,1994,1
6807,8566,1994,1
6808,11000,1994,1
6808,11387,1994,1
6809,6809,1994,1
6810,10129,1994,1
6810,6810,1994,1
6810,6794,1994,1
6810,6782,1994,1
6810,6783,1994,1
6812,11072,1994,1
6812,9715,1994,1
6812,7180,1994,1
6812,8909,1994,1
6815,11059,1994,1
6816,7962,1994,1
6816,9788,1994,1
6817,8346,1994,1
6819,8729,1994,1
6819,8730,1994,1
6819,6962,1994,1
6820,7024,1994,1
6820,11189,1994,1
6820,11310,1994,1
6823,6891,1994,1
6825,6818,1994,1
6826,7305,1994,1
6826,6892,1994,1
6827,8720,1994,1
6827,7024,1994,1
6827,7042,1994,1
6828,9416,1994,1
6829,7900,1994,1
6829,8140,1994,1
6848,8376,1994,1
6848,7042,1994,1
6848,10983,1994,1
6848,7837,1994,1
6848,7543,1994,1
10952,9585,1994,1
7900,9097,1994,1
7900,6852,1994,1
7900,8212,1994,1
7900,7156,1994,1
6884,6889,1994,1
6896,11231,1994,1
7943,7800,1994,1
7944,7945,1994,1
6932,8335,1994,1
6933,7962,1994,1
7962,6970,1994,1
7962,7900,1994,1
7971,7972,1994,1
7979,7042,1994,1
7980,6782,1994,1
7987,10940,1994,1
11230,6896,1994,1
9024,10790,1994,1
10058,10059,1994,1
11088,11089,1994,1
7011,7068,1994,1
8850,8851,1994,1
7027,7138,1994,1
12199,12201,1994,1
8062,8061,1994,1
10112,10113,1994,1
7042,8432,1994,1
10126,6985,1994,1
8082,11035,1994,1
8092,7042,1994,1
7430,8021,1994,1
7081,7104,1994,1
6985,7042,1994,1
8120,6837,1994,1
7102,6953,1994,1
10915,10916,1994,1
7128,6953,1994,1
6821,7474,1994,1
6821,7507,1994,1
6821,11669,1994,1
6821,7134,1994,1
6821,7135,1994,1
9249,9247,1995,1
11301,11300,1995,1
11359,10444,1995,1
7266,6805,1995,1
7266,8687,1995,1
7273,8967,1995,1
10364,10365,1995,1
8329,7436,1995,1
8343,7423,1995,1
9385,9386,1995,1
9860,6953,1995,1
9078,9079,1995,1
7382,8275,1995,1
7394,8770,1995,1
8437,6805,1995,1
8446,6823,1995,1
7436,8501,1995,1
8495,8496,1995,1
8580,6962,1995,1
8586,6813,1995,1
11669,6852,1995,1
8604,6962,1995,1
10674,7884,1995,1
